date,gold_close,mm_long,mm_short,mm_net,mm_long_percentile_156w,mm_short_percentile_156w,mm_net_percentile_156w,gold_return_1w,gold_return_2w,gold_return_4w,gold_return_8w,mm_long_velocity_2w,mm_long_velocity_4w,mm_long_velocity_8w,mm_long_velocity_12w,mm_long_velocity_26w,mm_short_velocity_2w,mm_short_velocity_4w,mm_short_velocity_8w,mm_short_velocity_12w,mm_short_velocity_26w,mm_net_velocity_2w,mm_net_velocity_4w,mm_net_velocity_8w,mm_net_velocity_12w,mm_net_velocity_26w
2010-02-23,1102.699951171875,171565,6909,164656,0.12,0.52,,-0.0148307843581618,0.0241478602945062,0.0043719160680173,0.0051959445504785,0.0765217391304348,0.07238095238095239,,,,-0.48,-0.2895238095238095,,,,,,,,
2010-03-02,1136.9000244140625,182360,5689,176671,0.1923076923076923,0.3076923076923077,,0.0310148496931028,0.0157240907872417,0.0174512256792058,0.0168142824779804,0.10897435897435899,0.10139860139860139,,,,-0.6089743589743589,-0.5559440559440559,,,,,,,,
2010-03-09,1122.0,179078,4670,174408,0.1481481481481481,0.1111111111111111,,-0.013105835248567,0.0175025389341989,0.0420730480936872,-0.0061121660597392,0.028148148148148117,0.10466988727858291,,,,-0.4088888888888889,-0.8888888888888888,,,,,,,,
2010-03-16,1122.199951171875,176715,6438,170277,0.1428571428571428,0.4285714285714285,,0.0001782096006015,-0.0129299612336305,0.0025908176692979,-0.015354918618717,-0.0494505494505495,0.05952380952380949,-0.05714285714285722,,,0.12087912087912078,-0.48809523809523814,-0.37142857142857155,,,,,,,
2010-03-23,1103.5,162654,8962,153692,0.0344827586206896,0.8620689655172413,,-0.0166636535247994,-0.016488413547237,0.000725536286888,0.0051006243386562,-0.11366538952745851,-0.0855172413793104,-0.013136288998358003,,,0.7509578544061302,0.3420689655172413,0.05254515599343179,,,,,,,
2010-03-30,1104.5,155355,8135,147220,0.0,0.7333333333333333,,0.0009062075215224,-0.0157725467314372,-0.0284985695472747,-0.0115446788367729,-0.1428571428571428,-0.1923076923076923,-0.0909090909090909,,,0.3047619047619048,0.42564102564102557,-0.13030303030303036,,,,,,,
2010-04-06,1135.0999755859375,181635,6500,175135,0.2580645161290322,0.4193548387096774,,0.0277048217165571,0.0286361355559017,0.0116755575632241,0.0542398319517896,0.22358175750834258,0.10991636798088408,0.214586255259467,,,-0.44271412680756395,0.3082437275985663,-0.5806451612903226,,,,,,,
2010-04-13,1152.800048828125,200201,3506,196695,0.46875,0.0,,0.0155934046541148,0.0437302388665685,0.0272679548990315,0.0299294188676875,0.46875,0.3258928571428572,0.3854166666666667,0.26875,,-0.7333333333333333,-0.4285714285714285,-0.9166666666666666,-0.8,,,,,,
2010-04-20,1138.5999755859375,199008,6768,192240,0.4545454545454545,0.4848484848484848,,-0.0123178978493473,0.0030834288391146,0.03180786188123,0.0325564759261214,0.19648093841642228,0.42006269592476486,0.3345454545454545,0.40692640692640686,,0.06549364613880743,-0.3772204806687565,-0.03515151515151521,-0.32467532467532473,,,,,,
2010-04-27,1161.699951171875,210203,4760,205443,0.6764705882352942,0.1470588235294117,,0.020288052065037,0.0077202480627904,0.0517880952212539,0.0218136390405954,0.20772058823529416,0.6764705882352942,0.48416289592760187,0.5855614973262032,,0.1470588235294117,-0.5862745098039216,-0.16063348416289602,-0.716577540106952,,,,,,
2010-05-04,1168.5999755859375,217433,9645,207788,0.7714285714285715,0.9142857142857144,,0.0059395925833534,0.0263481474119666,0.0295128188886686,0.0415329550676804,0.316883116883117,0.5133640552995393,0.6232804232804233,0.7279503105590063,,0.42943722943722956,0.494930875576037,0.8031746031746032,-0.08571428571428563,,,,,,
2010-05-11,1219.9000244140625,224664,7134,217530,0.8888888888888888,0.5833333333333334,,0.0438987248843669,0.0500990580084621,0.0582060832267901,0.0870611989780989,0.21241830065359468,0.42013888888888884,0.746031746031746,0.8055555555555556,,0.4362745098039217,0.5833333333333334,0.15476190476190488,-0.33333333333333326,,,,,,
2010-05-18,1214.300048828125,226337,6542,219795,0.918918918918919,0.4324324324324324,,-0.0045905201031758,0.0391066868021054,0.0664852229627277,0.1004078376330992,0.1474903474903475,0.4643734643734645,0.8844361602982294,0.798918918918919,,-0.48185328185328197,-0.052416052416052406,-0.4296365330848089,-0.08756756756756762,,,,,,
2010-05-25,1197.800048828125,212919,7703,205216,0.6578947368421053,0.7105263157894737,,-0.0135880748880176,-0.0181162186602565,0.0310752338586515,0.08447265625,-0.23099415204678353,-0.018575851393188847,0.6578947368421053,0.465587044534413,,0.1271929824561403,0.563467492260062,-0.02280701754385961,0.40283400809716596,,,,,,
2010-06-01,1224.800048828125,210717,4459,206258,0.6153846153846154,0.1025641025641025,,0.022541324845007,0.0086469567469202,0.048091797378319,0.0790239407730446,-0.30353430353430355,-0.15604395604395604,0.3573200992555832,0.4672364672364673,,-0.3298683298683299,-0.8117216117216118,-0.31679073614557485,-0.0085470085470086,,,,,,
2010-06-08,1244.0,215177,5161,210016,0.7,0.2,,0.0156759882482413,0.0385706706366184,0.019755697273236,0.0791116822597153,0.042105263157894646,-0.18888888888888888,0.23124999999999996,0.5571428571428572,,-0.5105263157894737,-0.38333333333333336,0.2,-0.22857142857142848,,,,,,
2010-06-15,1233.199951171875,215511,4021,211490,0.7073170731707317,0.073170731707317,,-0.0086817112766278,0.0068581825676663,0.0155644417226117,0.0830844700635577,0.09193245778611625,-0.2116018457481873,0.2527716186252772,0.6728343145500421,,-0.029393370856785506,-0.35926170072511543,-0.41167775314116783,-0.7888982338099243,,,,,,
2010-06-22,1239.9000244140625,223219,4354,218865,0.8095238095238095,0.0952380952380952,,0.0054330793930219,-0.0032958003102391,0.0351477490981289,0.0673152074796099,0.10952380952380958,0.15162907268170422,0.13305322128851538,0.8095238095238095,,-0.1047619047619048,-0.6152882205513784,-0.05182072829131648,-0.638095238095238,,,,,,
2010-06-29,1242.0,219365,4903,214462,0.7674418604651163,0.2325581395348837,,0.0016936652508978,0.0071359464616931,0.0140430686529868,0.0628102224435351,0.06012478729438464,0.1520572450805009,-0.003986710963455153,0.5093773443360841,,0.1593874078275667,0.12999403697078118,-0.6817275747508307,-0.1867966991747937,,,,,,
2010-07-06,1194.800048828125,193032,11299,181733,0.2727272727272727,0.9772727272727272,,-0.038003181297806,-0.0363738807144957,-0.0395497999773915,-0.0205754365797258,-0.5367965367965368,-0.42727272727272725,-0.6161616161616161,-0.1960227272727273,,0.882034632034632,0.7772727272727271,0.3939393939393938,0.9772727272727272,,,,,,
2010-07-13,1213.300048828125,188892,8138,180754,0.2666666666666666,0.7777777777777778,,0.0154837623401045,-0.0231078511850845,-0.0161368011122929,-0.0008235196901829,-0.5007751937984497,-0.44065040650406506,-0.6522522522522524,-0.18787878787878787,,0.5452196382428941,0.7046070460704608,0.3453453453453454,0.292929292929293,,,,,,
2010-07-20,1191.5,169169,20798,148371,0.108695652173913,1.0,,-0.0179675661013783,-0.0027620092846177,-0.0390354250028625,-0.0052596832286729,-0.1640316205533597,-0.7008281573498966,-0.5491990846681923,-0.5677749360613812,-0.09130434782608701,0.022727272727272818,0.9047619047619048,0.2894736842105263,0.8529411764705883,0.19999999999999996,,,,,
2010-07-27,1158.0,167161,14269,152892,0.0851063829787234,0.9787234042553192,,-0.0281158203944608,-0.0455782136344071,-0.0676328502415458,-0.0545395543476983,-0.1815602836879432,-0.6823354774863929,-0.530278232405892,-0.686322188449848,0.0374873353596758,0.20094562647754144,0.7461652647204355,0.8761593016912167,0.06443768996960486,0.1691995947315097,,,,,
2010-08-03,1185.199951171875,167800,11435,156365,0.125,0.9375,,0.0234887315819301,-0.0052874937709819,-0.0080348989487119,-0.0472669202798432,0.016304347826087,-0.1477272727272727,-0.575,-0.7638888888888888,0.0340909090909091,-0.0625,-0.03977272727272718,0.7375,0.35416666666666663,0.07386363636363635,,,,,
2010-08-10,1196.199951171875,167837,9244,158593,0.1428571428571428,0.8163265306122449,,0.0092811343681913,0.0329878680240716,-0.0140938737064802,-0.0300032447818701,0.05775075987841939,-0.12380952380952381,-0.5644599303135889,-0.7760617760617762,0.09937888198757759,-0.1623968736430743,0.038548752834467126,0.7431557989049279,0.3838940981798125,-0.18367346938775508,,,,,
2010-08-17,1226.5999755859375,182555,5336,177219,0.3,0.28,,0.0254138318466579,0.0349308354030286,0.0294586450574381,-0.0107267106752499,0.175,0.191304347826087,-0.5095238095238095,-0.3578947368421053,0.21666666666666667,-0.6575,-0.72,0.18476190476190482,-0.43052631578947365,-0.6366666666666666,,,,,
2010-08-24,1231.800048828125,201864,5780,196084,0.5098039215686274,0.3529411764705882,0.5192307692307693,0.0042394206307589,0.0297609924004542,0.0637306121140974,-0.0082125210723631,0.3669467787114846,0.424697538589904,-0.2576379388964889,-0.105580693815988,0.3898039215686274,-0.4633853541416567,-0.625782227784731,0.12038303693570451,0.25037707390648567,-0.16705882352941182,,,,,
2010-08-31,1248.300048828125,215631,6431,209200,0.7307692307692307,0.4038461538461538,0.7169811320754716,0.0133950311300095,0.0176912389320906,0.053240044090332,0.0447773667673294,0.43076923076923074,0.6057692307692307,0.458041958041958,0.03076923076923077,0.5384615384615384,0.12384615384615377,-0.5336538461538463,-0.5734265734265733,0.2038461538461538,0.09615384615384609,,,,,
2010-09-07,1257.300048828125,217437,6410,211027,0.7735849056603774,0.3962264150943396,0.7777777777777778,0.0072098050532394,0.0207014117463784,0.0510784987044954,0.0362647310881572,0.26378098409175,0.6307277628032346,0.5069182389937108,0.06626783248964574,0.6254367575122293,0.04328523862375139,-0.4201001155179053,-0.3815513626834382,0.3230556833870226,0.2851153039832285,0.2585470085470085,,,,
2010-09-14,1269.699951171875,225821,7571,218250,0.925925925925926,0.6481481481481481,0.9090909090909092,0.0098623255087815,0.0171432360063108,0.0351377600226585,0.0656315158807174,0.19515669515669531,0.625925925925926,0.8172302737520131,0.1164021164021165,0.7830687830687832,0.24430199430199434,0.3681481481481481,-0.35185185185185186,0.5529100529100529,0.21957671957671965,0.19210977701543752,,,,
2010-09-21,1272.4000244140625,219781,5982,213799,0.8,0.3636363636363636,0.7857142857142857,0.0021265443380504,0.0120098425193027,0.0329598749606823,0.0987910400812284,0.026415094339622636,0.29019607843137263,0.7148936170212766,0.032558139534883734,0.7655172413793104,-0.032590051457976,0.010695187165775388,-0.6150870406189557,0.1310782241014799,-0.49843260188087773,0.007936507936507908,0.2664835164835164,,,
2010-09-28,1306.5999755859375,231457,7049,224408,0.9642857142857144,0.5714285714285714,0.9649122807017544,0.0268783012540603,0.029062003491459,0.0467034562824404,0.1024299944444204,0.03835978835978837,0.23351648351648369,0.8392857142857144,0.6915584415584417,0.9642857142857144,-0.07671957671957674,0.1675824175824176,-0.3660714285714286,-0.4058441558441558,-0.16190476190476188,0.055821371610845216,0.24793114862628274,,,
2010-10-05,1338.9000244140625,227061,8345,218716,0.9298245614035088,0.7543859649122807,0.896551724137931,0.0247206868449849,0.0522634381672721,0.0649009563484812,0.1192944984677431,0.12982456140350873,0.15623965574313137,0.786967418546366,0.6631578947368422,0.6717600452744765,0.3907496012759171,0.3581595498179411,-0.0619405656999642,-0.023391812865497075,0.33503112620260334,0.11083743842364535,0.11877394636015326,,,
2010-10-12,1345.699951171875,233925,9966,223959,0.9827586206896552,0.8793103448275862,0.9491525423728814,0.0050787412307264,0.029924978047243,0.0598566613551929,0.0970976503803078,0.018472906403940836,0.05683269476372921,0.6827586206896552,0.8740629685157423,0.5140086206896552,0.3078817733990148,0.23116219667943805,0.5993103448275862,-0.12068965517241381,0.8793103448275862,-0.015759738328873008,0.04006163328197221,,,
2010-10-19,1335.0999755859375,220360,11613,208747,0.7627118644067796,0.9491525423728814,0.6333333333333333,-0.0078769235123377,-0.0028381871378245,0.0492769176114626,0.0838609536150669,-0.16711269699672915,-0.03728813559322042,0.2529079428381522,0.6776054814280562,0.30816640986132515,0.19476657746060067,0.5855161787365177,0.5962113659022932,-0.02957086188243785,0.4643040575243966,-0.26321839080459775,-0.1523809523809524,0.11410256410256403,,
2010-10-26,1338.0,209780,11743,198037,0.5166666666666667,0.95,0.4754098360655737,0.0021721402644694,-0.0057218930305895,0.0240318574933244,0.0718576845815901,-0.46609195402298853,-0.4476190476190477,-0.214102564102564,0.3916666666666667,-0.15980392156862744,0.07068965517241377,0.37857142857142856,0.5461538461538462,0.012499999999999956,0.8029411764705883,-0.4737427063073077,-0.4895024446361807,-0.24157129600989796,,
2010-11-02,1356.4000244140625,211627,16033,195594,0.5573770491803278,0.9836065573770492,0.4193548387096774,0.013751886707072,0.0159538979983704,0.0130704307124487,0.0788196705140544,-0.2053348152264518,-0.37244751222318095,-0.2162078564800496,0.41451990632318503,-0.21405152224824364,0.03445401500416778,0.22922059246476845,0.5873801422827096,0.16728002676480425,0.0693208430913348,-0.21397849462365592,-0.47719688542825367,-0.3584229390681004,,
2010-11-09,1409.800048828125,208053,19379,188674,0.4838709677419355,0.9838709677419356,0.3333333333333333,0.039368935013939,0.0536622188551008,0.0476332763484383,0.1103411065952582,-0.03279569892473122,-0.49888765294771975,-0.44205495818399054,0.1838709677419355,-0.40501792114695334,0.033870967741935654,0.10456062291434942,0.33572281959378747,0.7038709677419356,0.40053763440860224,-0.14207650273224037,-0.615819209039548,-0.5757575757575759,,
2010-11-16,1338.300048828125,183835,17233,166602,0.2539682539682539,0.9682539682539684,0.171875,-0.0507164119191464,-0.0133441280301924,0.0023968791107071,0.0517919075366328,-0.3034087952120739,-0.5087436104385257,-0.5460317460317461,-0.2558356676003735,-0.6649506649506651,-0.015352589123080795,0.019101425881086986,0.6046176046176048,0.6153127917833802,0.5358215358215359,-0.24747983870967738,-0.4614583333333333,-0.6138392857142857,-0.3473557692307693,
2010-11-23,1377.5,185172,15166,170006,0.265625,0.9375,0.1846153846153846,0.0292908538755567,-0.022911085054206,0.0295216741405082,0.0542629922997417,-0.2182459677419355,-0.2510416666666667,-0.6986607142857144,-0.4651442307692307,-0.3922697368421053,-0.04637096774193561,-0.012499999999999956,0.3660714285714286,0.5336538461538463,0.22697368421052633,-0.14871794871794872,-0.2907944514501891,-0.7802968960863698,-0.532365747460087,
2010-11-30,1385.0,187247,11873,175374,0.2923076923076923,0.8923076923076924,0.2575757575757575,0.0054446460980035,0.034894978306821,0.0210852072184914,0.0344312306709473,0.038339438339438425,-0.2650693568726355,-0.6375168690958164,-0.4812772133526851,-0.3230769230769231,-0.07594627594627601,-0.0912988650693568,0.13792172739541164,0.49608127721335277,0.7897435897435898,0.08570075757575751,-0.16177908113391987,-0.6389759665621735,-0.5202020202020203,
2010-12-07,1408.300048828125,190212,10455,179757,0.3181818181818182,0.7878787878787878,0.3134328358208955,0.0168231399481046,0.022359382089383,-0.0010639806696324,0.0465186147935399,0.05255681818181818,-0.16568914956011732,-0.6645768025078371,-0.6077441077441079,-0.3818181818181818,-0.14962121212121215,-0.19599217986314776,-0.09143155694879834,0.1397306397306397,0.5878787878787879,0.12881745120551089,-0.01990049751243783,-0.635719706551986,-0.5956580732700136,
2010-12-14,1403.5999755859375,180601,11976,168625,0.1791044776119403,0.8955223880597015,0.1764705882352941,-0.0033374089890138,0.0134295852606047,0.0487931886537642,0.0513070191391002,-0.11320321469575204,-0.07486377635631361,-0.5836073867948394,-0.6208955223880598,-0.5282125955587914,0.003214695752009167,-0.07273158019426684,-0.053630154313179856,0.5318860244233379,0.8223516563523845,-0.08110516934046341,0.004595588235294101,-0.4568627450980392,-0.6092436974789917,
2010-12-21,1388.199951171875,172385,14735,157650,0.1470588235294117,0.9264705882352942,0.1304347826086956,-0.010971804418587,-0.0142725960089085,0.0077676596529037,0.0375186481105194,-0.1711229946524065,-0.11856617647058831,-0.36960784313725503,-0.8172268907563027,-0.6624649859943978,0.1385918003565063,-0.011029411764705843,-0.0235294117647058,0.35504201680672276,0.8312324929971989,-0.1829980532121999,-0.054180602006689005,-0.34497505345687807,-0.8344774980930588,
2010-12-28,1405.199951171875,180866,12952,167914,0.2028985507246377,0.8840579710144928,0.1857142857142857,0.0122460744834698,0.0011399085307546,0.0145848022901624,0.0359775330871827,0.023794073112697406,-0.08940914158305463,-0.3544784984556901,-0.7269260106788711,-0.5645433097404786,-0.01146441704520873,-0.008249721293199563,-0.09954858636255637,0.12967200610221208,0.6514998314796091,0.009243697478991592,-0.07186147186147182,-0.2336405529953917,-0.7108374384236453,
2011-01-04,1378.5,172298,16163,156135,0.1428571428571428,0.9571428571428572,0.0985915492957746,-0.0190008198830411,-0.006987430855106,-0.0211602980862793,-0.0222017646077844,-0.004201680672268893,-0.17532467532467538,-0.3410138248847927,-0.8399014778325125,-0.1298701298701299,0.030672268907563027,0.16926406926406934,-0.026728110599078425,0.077832512315271,-0.020129870129869998,-0.03184323331292099,-0.21484128652512088,-0.23474178403755872,-0.8505609930771068,
2011-01-11,1384.0,160750,21194,139556,0.028169014084507,1.0,0.0138888888888888,0.0039898440333696,-0.015086786157511,-0.0139640751829989,0.0341477617159857,-0.1747295366401307,-0.15093546352743328,-0.2257992398837469,-0.7345428503222726,-0.2384976525821596,0.1159420289855072,0.10447761194029848,0.03174603174603163,0.05084745762711862,0.2222222222222222,-0.17182539682539688,-0.1625816993464053,-0.1579861111111112,-0.6194444444444445,
2011-01-18,1368.0999755859375,159114,25874,133240,0.0277777777777777,1.0,0.0136986301369863,-0.0114884569465769,-0.0075444500646082,-0.0144791645965479,-0.0068239741662885,-0.11507936507936509,-0.11928104575163398,-0.2378472222222223,-0.48888888888888904,-0.08091787439613529,0.042857142857142816,0.07352941176470584,0.0625,0.050000000000000044,0.0,-0.0848929191587883,-0.11673615247170929,-0.1709167544783983,-0.4617112059285874,
2011-01-25,1332.300048828125,160562,22345,138217,0.0410958904109589,0.9863013698630136,0.027027027027027,-0.0261676247326003,-0.0373554560490426,-0.0518786684293254,-0.0380505062612815,0.0129268763264519,-0.1618026603136788,-0.2512118018967334,-0.516281158769369,-0.0440104925677645,-0.013698630136986356,0.10224339884852085,0.09399367755532129,0.0026948124859644818,0.007577965607694415,0.013138138138138201,-0.1586872586872587,-0.2305487305487305,-0.3923278116826504,
2011-02-01,1339.5999755859375,145530,21797,123733,0.0,0.972972972972973,0.0133333333333333,0.0054791912409171,-0.0208318109119136,-0.0282190964193417,-0.0487822700136624,-0.0277777777777777,-0.1428571428571428,-0.3181818181818182,-0.4838709677419355,-0.125,-0.027027027027026973,0.015830115830115843,0.18509418509418518,-0.010897994768962582,0.03547297297297303,-0.0003652968036530011,-0.0852582159624413,-0.3000995024875622,-0.32,
2011-02-08,1363.4000244140625,159732,18223,141509,0.0533333333333333,0.92,0.0657894736842105,0.0177665342355017,0.0233430717151836,-0.0148843754233652,-0.0286406040689003,0.0122374429223744,0.0251643192488263,-0.12577114427860697,-0.2006349206349206,-0.08952380952380949,-0.0663013698630136,-0.07999999999999996,0.024477611940298516,-0.04825396825396833,0.10367346938775512,0.038762446657183494,0.0519005847953217,-0.1106811145510836,-0.1060855263157895,
2011-02-15,1373.5999755859375,166406,12172,154234,0.1184210526315789,0.8026315789473685,0.1558441558441558,0.0074812608106402,0.0253807111224591,0.0040201740356324,-0.0105171993224842,0.1184210526315789,0.09064327485380119,-0.028637770897832787,-0.1472039473684211,-0.1815789473684211,-0.17034139402560455,-0.19736842105263153,-0.12383900928792568,-0.13486842105263153,0.5226315789473684,0.1425108225108225,0.1421455257071695,0.02540937323546022,-0.028771228771228785,
2011-02-22,1400.5,185082,16633,168449,0.3506493506493506,0.8961038961038961,0.2692307692307692,0.0195835941265125,0.027211364912423,0.0511896334702253,-0.0033446849809206,0.2973160173160173,0.3095534602383917,0.1477507999247129,0.058341658341658276,-0.15915457091927682,-0.02389610389610397,-0.09019747375911757,0.012045925089403275,0.003796203796203712,0.5431627196333079,0.2034412955465587,0.24220374220374222,0.08351648351648353,0.011655011655011704,-0.25000000000000006
2011-03-01,1430.699951171875,199371,10555,188816,0.4871794871794871,0.6923076923076923,0.4683544303797468,0.0215636923754909,0.0415695811013538,0.0680053577532282,0.0378672115864164,0.36875843454790824,0.4871794871794871,0.3443223443223443,0.16899766899766894,-0.2435897435897436,-0.11032388663967618,-0.28066528066528074,-0.2648351648351649,-0.09557109557109555,0.2884615384615385,0.312510274535591,0.45502109704641347,0.36976288108397215,0.1549215945588513,-0.24862670169572487
2011-03-08,1426.9000244140625,197377,8757,188620,0.4430379746835443,0.5949367088607594,0.45,-0.0026559913940725,0.0188504280000445,0.0465747387875321,0.0309971274668081,0.09238862403419368,0.389704641350211,0.4148689605990373,0.26393349707160396,-0.33054693097683313,-0.3011671872431366,-0.3250632911392406,-0.40506329113924056,-0.3005856791989421,0.19871029376641985,0.1807692307692308,0.3842105263157895,0.4361111111111112,0.2735294117647059,-0.3277777777777778
2011-03-15,1392.5999755859375,187986,11748,176238,0.3875,0.7625,0.3580246913580246,-0.0240381584142237,-0.0266303046664188,0.0138322658253506,0.0179080479769082,-0.0996794871794871,0.2690789473684211,0.35972222222222233,0.24044117647058832,-0.5384259259259261,0.07019230769230766,-0.04013157894736852,-0.23750000000000004,-0.1639705882352942,0.11435185185185182,-0.11032973902172216,0.2021805355138688,0.3443260612210383,0.22758990874932902,-0.5510662177328846
2011-03-22,1427.5,183912,5037,178875,0.3333333333333333,0.1358024691358024,0.4024390243902439,0.0250610548800118,0.000420474858555,0.0192788289896466,0.071455338649587,-0.10970464135021096,-0.017316017316017285,0.2922374429223744,0.13043478260869562,-0.46666666666666673,-0.45913423972495704,-0.7603014269680937,-0.8504989007272112,-0.7482555018786904,-0.22783389450056118,-0.047560975609756084,0.1332082551594747,0.37541199736321695,0.21672473867595823,-0.38327526132404177
2011-03-29,1416.0,196020,4603,191417,0.4512195121951219,0.0853658536585365,0.5060240963855421,-0.0080560420315236,0.0168031199370206,-0.0102746569326673,0.0570319691000631,0.0637195121951219,-0.035959974984365206,0.4512195121951219,0.3083623693379791,-0.5130662020905925,-0.6771341463414635,-0.6069418386491559,-0.8876071193144366,-0.8717770034843206,-0.4860627177700349,0.14799940502751752,0.037669666005795355,0.4926907630522088,0.4074325470897675,-0.45888818431621226
2011-04-05,1451.800048828125,213018,6324,206694,0.6987951807228916,0.2771084337349397,0.6904761904761905,0.0252825203588453,0.0170228012806479,0.0174504337991636,0.0648379219826209,0.3654618473895583,0.2557572060393473,0.6454618473895583,0.6706261666383846,-0.23102938068061718,0.1413059645991373,-0.31782827512581974,-0.6428915662650603,-0.7228915662650603,-0.477277531177341,0.28803716608594654,0.24047619047619045,0.62468671679198,0.6765873015873016,-0.20607553366174058
2011-04-12,1452.9000244140625,208714,6810,201904,0.6190476190476191,0.3809523809523809,0.6235294117647059,0.0007576632793375,0.0260593392754677,0.0433003374158136,0.0577315450186273,0.16782810685249716,0.23154761904761906,0.5006265664160402,0.5912698412698414,-0.3637110016420362,0.2955865272938444,-0.3815476190476191,-0.4216791979949876,-0.6190476190476191,-0.4983579638752053,0.11750531537916376,0.26550472040668127,0.4676852559205501,0.6098307816277195,-0.3256231306081755
