mm_feature,gold_horizon,lag_weeks,correlation,rank_correlation,sample_count,interpretation
mm_short_velocity_8w,2W,-2,-0.20770085334561963,-0.22888607262057956,847,mm_structure_feature_lags_or_confirms_gold_2w_negative_historical_alignment
mm_short_velocity_8w,2W,0,-0.18196967274500994,-0.21584831397839477,847,same_week_negative_historical_alignment
mm_short_velocity_8w,2W,2,-0.004129463653220628,-0.024237646027618024,845,weak_historical_structure_relationship
mm_short_velocity_8w,2W,4,0.03173428850516372,0.017201788753908754,843,weak_historical_structure_relationship
mm_short_velocity_8w,2W,8,0.014316638405918155,0.0049080608122002035,839,weak_historical_structure_relationship
mm_short_velocity_8w,4W,-8,0.139014135984613,0.12423821564579891,847,mm_structure_feature_lags_or_confirms_gold_8w_positive_historical_alignment
mm_short_velocity_8w,4W,-4,-0.25409576733623757,-0.24066706097896487,847,mm_structure_feature_lags_or_confirms_gold_4w_negative_historical_alignment
mm_short_velocity_8w,4W,-2,-0.2953212445842463,-0.29549819567553054,847,mm_structure_feature_lags_or_confirms_gold_2w_negative_historical_alignment
mm_short_velocity_8w,4W,0,-0.2776187656556835,-0.3006246418127778,847,same_week_negative_historical_alignment
mm_short_velocity_8w,4W,2,-0.1339698360255777,-0.16359443959045059,845,mm_structure_feature_leads_gold_2w_negative_historical_alignment
mm_short_velocity_8w,4W,4,0.018701165163624103,-0.005445355863876602,843,weak_historical_structure_relationship
mm_short_velocity_8w,4W,8,-0.0002793340766356721,-0.019926999373983983,839,weak_historical_structure_relationship
mm_short_velocity_8w,8W,-8,0.14109964818457538,0.16284189910233643,847,mm_structure_feature_lags_or_confirms_gold_8w_positive_historical_alignment
mm_short_velocity_8w,8W,-4,-0.08055893712516096,-0.09383395679096973,847,weak_historical_structure_relationship
mm_short_velocity_8w,8W,-2,-0.24632554605646098,-0.26625237890312836,847,mm_structure_feature_lags_or_confirms_gold_2w_negative_historical_alignment
mm_short_velocity_8w,8W,0,-0.3748045848156755,-0.41184647665892776,847,same_week_negative_historical_alignment
mm_short_velocity_8w,8W,2,-0.3037440546300134,-0.3464604944977917,845,mm_structure_feature_leads_gold_2w_negative_historical_alignment
mm_short_velocity_8w,8W,4,-0.1833561673168069,-0.21303576181655298,843,mm_structure_feature_leads_gold_4w_negative_historical_alignment
mm_short_velocity_8w,8W,8,0.015243065033260323,-0.007889554627300491,839,weak_historical_structure_relationship
mm_short_velocity_12w,1W,-8,-0.09960465808884242,-0.11348705482154886,843,mm_structure_feature_lags_or_confirms_gold_8w_negative_historical_alignment
mm_short_velocity_12w,1W,-4,-0.10735103688913357,-0.11732468860937291,843,mm_structure_feature_lags_or_confirms_gold_4w_negative_historical_alignment
mm_short_velocity_12w,1W,-2,-0.164495396077192,-0.18599544802581097,843,mm_structure_feature_lags_or_confirms_gold_2w_negative_historical_alignment
mm_short_velocity_12w,1W,0,-0.11677885488451582,-0.13925789194819316,843,same_week_negative_historical_alignment
mm_short_velocity_12w,1W,2,0.012816387661760213,0.0057286214873560545,841,weak_historical_structure_relationship
mm_short_velocity_12w,1W,4,0.041971037370394954,0.04360013415001571,839,weak_historical_structure_relationship
mm_short_velocity_12w,1W,8,-0.012596212550979702,0.008595988184514285,835,weak_historical_structure_relationship
mm_short_velocity_12w,2W,-8,-0.14501216763395028,-0.16649219189571812,843,mm_structure_feature_lags_or_confirms_gold_8w_negative_historical_alignment
mm_short_velocity_12w,2W,-4,-0.14325676111032448,-0.15024768447554024,843,mm_structure_feature_lags_or_confirms_gold_4w_negative_historical_alignment
mm_short_velocity_12w,2W,-2,-0.2288178877990879,-0.2578801568830851,843,mm_structure_feature_lags_or_confirms_gold_2w_negative_historical_alignment
mm_short_velocity_12w,2W,0,-0.17699536825750148,-0.22216973106478974,843,same_week_negative_historical_alignment
mm_short_velocity_12w,2W,2,0.019284839162660116,0.012030221125221051,841,weak_historical_structure_relationship
mm_short_velocity_12w,2W,4,0.05669100758194442,0.04962088043651962,839,weak_historical_structure_relationship
mm_short_velocity_12w,2W,8,-0.0007792406887272371,0.007150090423010482,835,weak_historical_structure_relationship
mm_short_velocity_12w,4W,-8,-0.18868579036761812,-0.20053131352672904,843,mm_structure_feature_lags_or_confirms_gold_8w_negative_historical_alignment
mm_short_velocity_12w,4W,-4,-0.1693471635436226,-0.16831896647287753,843,mm_structure_feature_lags_or_confirms_gold_4w_negative_historical_alignment
mm_short_velocity_12w,4W,-2,-0.26507340099136134,-0.27962736263056553,843,mm_structure_feature_lags_or_confirms_gold_2w_negative_historical_alignment
mm_short_velocity_12w,4W,0,-0.28951151934518493,-0.32637568535568157,843,same_week_negative_historical_alignment
mm_short_velocity_12w,4W,2,-0.11345825112815668,-0.1437613103967851,841,mm_structure_feature_leads_gold_2w_negative_historical_alignment
mm_short_velocity_12w,4W,4,0.05390681478189368,0.03278198807335273,839,weak_historical_structure_relationship
mm_short_velocity_12w,4W,8,0.006711237714727826,0.0020521143211061793,835,weak_historical_structure_relationship
mm_short_velocity_12w,8W,-8,-0.03274232253981662,-0.04448605478375235,843,weak_historical_structure_relationship
mm_short_velocity_12w,8W,-4,-0.2527422407770729,-0.2801779038829676,843,mm_structure_feature_lags_or_confirms_gold_4w_negative_historical_alignment
