definition,signal_column,bucket,count,avg_forward_return_1w,median_forward_return_1w,win_rate_1w,avg_forward_return_2w,median_forward_return_2w,win_rate_2w,avg_forward_return_4w,median_forward_return_4w,win_rate_4w,avg_forward_return_8w,median_forward_return_8w,win_rate_8w,best_return_8w,worst_return_8w
156W percentile,mm_net_percentile_156w,60-70,60,0.007188873530779221,0.00713878751996295,0.6333333333333333,0.015758215640595673,0.016185589395792,0.65,0.02069238155168649,0.01961543709596805,0.65,0.040833151479871564,0.02852168869125845,0.7166666666666667,0.1708728004228352,-0.061912675820092
156W percentile,mm_net_percentile_156w,70-80,47,0.0030004614844613697,0.0041638276162798,0.5957446808510638,0.00914016835759366,0.0037549520057,0.574468085106383,0.024213313481335697,0.0245727446587604,0.6808510638297872,0.027419287129477166,0.0314198204983879,0.7446808510638298,0.1375700212875585,-0.086658135831047
156W percentile,mm_net_percentile_156w,80-90,59,0.004399626089710654,0.0061239295965651,0.6271186440677966,0.008857540824673662,0.0074078274279067,0.6610169491525424,0.022388871659442613,0.017869839115914,0.711864406779661,0.037807487605779413,0.0349675369315798,0.7457627118644068,0.1408568443760893,-0.0721954831543872
156W percentile,mm_net_percentile_156w,90-100,109,0.006850272190499308,0.0090767633418045,0.6422018348623854,0.014186949259775424,0.0173754709113114,0.6972477064220184,0.028414817457916,0.028013348048071,0.8256880733944955,0.05438124030223551,0.0584878366545775,0.8715596330275229,0.1791862139719482,-0.0363676301304162
260W percentile,mm_net_percentile_260w,0-10,170,-0.004348848325055688,-0.00398743435950975,0.43529411764705883,-0.011223474776812577,-0.0100258092691263,0.32941176470588235,-0.022983556813366737,-0.02151296435324945,0.27058823529411763,-0.03806177955563261,-0.03628329492724345,0.1588235294117647,0.1175306215943337,-0.1417529499061852
260W percentile,mm_net_percentile_260w,10-20,78,-0.0009909031180199911,0.00038678153430555,0.5128205128205128,-0.0004090921766229287,-0.0011884630477710001,0.47435897435897434,-0.0020967955753896897,-0.0058739055912104005,0.44871794871794873,-0.005255757487579929,-0.0109939792861176,0.3974358974358974,0.1423287258562418,-0.0887388077850833
260W percentile,mm_net_percentile_260w,20-30,81,0.00026658396186568034,0.0023379053258694,0.5679012345679012,9.408868378057706e-06,-0.0020589241969809,0.4691358024691358,-0.0017346975773162572,-0.0049111697757419,0.4567901234567901,-0.00409757417729987,-0.0125482229274327,0.35802469135802467,0.1000000148053745,-0.1159048295679646
260W percentile,mm_net_percentile_260w,30-40,80,0.0008510397233627958,0.0017879919554728,0.5125,0.0028902940451387203,0.0027896592003618503,0.5875,0.007599289296523276,0.0033575570361422,0.5625,0.016788547535622922,0.0064067486567812,0.525,0.2078951875901724,-0.1103860537141996
260W percentile,mm_net_percentile_260w,40-50,86,0.00435041126883337,0.0050601465179065,0.5697674418604651,0.0064833760161438604,0.0071648749332033,0.5697674418604651,0.016166950941772753,0.016951919665604602,0.6511627906976745,0.03260871368148962,0.0308136923533859,0.6744186046511628,0.1971957200753258,-0.1339790371346169
260W percentile,mm_net_percentile_260w,50-60,48,0.0012389386092009423,0.0037851275973632,0.5416666666666666,0.009386688231175923,0.01267040413142235,0.6458333333333334,0.021664697654834322,0.0229622942479544,0.6458333333333334,0.05429372086290033,0.0513508068540421,0.8333333333333334,0.2391145624670039,-0.0681564440654928
260W percentile,mm_net_percentile_260w,60-70,53,0.005492323365635808,0.0057311979234464,0.6037735849056604,0.013746560671021315,0.0163074982641433,0.660377358490566,0.033080325880994785,0.0288228130951726,0.7547169811320755,0.058714802922002166,0.0529775864550097,0.8867924528301887,0.2490795911429133,-0.061912675820092
260W percentile,mm_net_percentile_260w,70-80,61,0.009024929834125237,0.0108722145722484,0.7049180327868853,0.017028804451689288,0.0127550420026909,0.7377049180327869,0.0264706094599151,0.0227396097813969,0.6885245901639344,0.050821886136482794,0.0447773667673294,0.7868852459016393,0.1874347438313099,-0.086658135831047
260W percentile,mm_net_percentile_260w,80-90,86,0.003548594317653233,0.00314309258259275,0.5697674418604651,0.007205651325299261,0.00354037635625975,0.5813953488372093,0.017106433079240306,0.00771802916418145,0.627906976744186,0.031555437995921164,0.02139130014454165,0.6627906976744186,0.175924517683228,-0.0721954831543872
260W percentile,mm_net_percentile_260w,90-100,79,0.00821656714819659,0.0090767633418045,0.6835443037974683,0.01651002355430088,0.0199862365930252,0.7468354430379747,0.030689757116504054,0.0350784556852803,0.8987341772151899,0.049664200596541856,0.0549975845585535,0.8860759493670886,0.1189313349833014,-0.0542942129737676
Full History percentile,mm_net_percentile_full_history,0-10,87,-0.002228177417798645,-0.0026553408320493,0.4482758620689655,-0.008319706715095961,-0.0104200630583402,0.3333333333333333,-0.018887967288221334,-0.0189263680160849,0.27586206896551724,-0.03145047146717359,-0.034681162975068,0.21839080459770116,0.0588672817887252,-0.1127336639223639
Full History percentile,mm_net_percentile_full_history,10-20,87,-0.004856459928024691,-0.0038045960932668,0.42528735632183906,-0.008677164285942444,-0.0114942528735632,0.367816091954023,-0.01266133605557682,-0.0143730586196656,0.3448275862068966,-0.023352878418009503,-0.0274507959587725,0.26436781609195403,0.1000000148053745,-0.1417529499061852
Full History percentile,mm_net_percentile_full_history,20-30,88,0.0027204317914152616,0.00265184733341305,0.5454545454545454,0.0020966928208486263,0.00270829653179435,0.5227272727272727,-0.004387271315196695,-0.0016384025736653016,0.5,-0.012045398680853303,-0.0117780145932815,0.32954545454545453,0.1277635936010763,-0.1279098451161066
Full History percentile,mm_net_percentile_full_history,30-40,87,-0.00184934216307086,0.0017542190533499,0.5172413793103449,-0.0004964450085346635,-0.0020589241969809,0.4482758620689655,-0.0004764085257655187,-0.0050747849518275,0.47126436781609193,-0.001074901236359062,-0.0103160852551911,0.39080459770114945,0.1423287258562418,-0.1351957658134761
Full History percentile,mm_net_percentile_full_history,40-50,87,-0.0005406850693197803,-0.0008375081477651,0.4827586206896552,-0.00044760625542873147,0.0011454538960367,0.5057471264367817,0.005047475046526347,0.0037766826650931,0.5172413793103449,0.019587141850487086,0.0120866776237646,0.5517241379310345,0.2063093411344592,-0.1339790371346169
Full History percentile,mm_net_percentile_full_history,50-60,88,0.005720256303982722,0.00652410763885735,0.6363636363636364,0.009100482510325253,0.00884541762615005,0.6818181818181818,0.012795376553163101,0.0139025190067892,0.5909090909090909,0.03586470476891585,0.0319266065203627,0.6818181818181818,0.2490795911429133,-0.1111769317266797
Full History percentile,mm_net_percentile_full_history,60-70,87,0.0034758796843755648,0.0065797635785835,0.6206896551724138,0.010425416848883373,0.0106866879906843,0.6206896551724138,0.025208455540195043,0.027843262436586,0.6781609195402298,0.04138050743679346,0.0329191019699521,0.735632183908046,0.1874347438313099,-0.0849778182466488
Full History percentile,mm_net_percentile_full_history,70-80,88,0.0004729463736340081,0.0001663072143014,0.5057471264367817,0.0032777883294359635,0.0011793379756328,0.5287356321839081,0.012130776856076627,0.0043719160680173,0.6091954022988506,0.021463021633747078,0.0166959100627372,0.6436781609195402,0.1375700212875585,-0.0843965918041352
Full History percentile,mm_net_percentile_full_history,80-90,87,0.0069549170279537735,0.0083720580836315,0.6666666666666666,0.013131947921079978,0.011456648341206601,0.6627906976744186,0.022725593586100438,0.0240318574933244,0.7411764705882353,0.048656966847243695,0.044452051859702996,0.7738095238095238,0.2391145624670039,-0.0542942129737676
Full History percentile,mm_net_percentile_full_history,90-100,88,0.010286885234610936,0.0098965812180921,0.7272727272727273,0.019691456505634728,0.022485567361147152,0.8068181818181818,0.03859216187134035,0.040183768060888,0.9195402298850575,0.06331264511151986,0.06523471893166916,0.9404761904761905,0.1735978538438134,-0.0329549339705276
