factor,sample_split,gold_regime,forward_horizon,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,max_drawdown_after_signal
swap_net_percentile_156w,all,bull,2W,60-70 percentile,26,0.009774562931024636,0.00762109890865359,0.5769230769230769,-0.050155319931290854
swap_net_percentile_156w,all,bull,2W,70-80 percentile,17,0.005099994478879942,0.002931679988718683,0.5294117647058824,-0.059911881620076435
swap_net_percentile_156w,all,bull,2W,80-90 percentile,12,0.020652792480297416,0.02436189141882139,0.75,-0.029948285141089936
swap_net_percentile_156w,all,bull,2W,90-100 percentile,26,0.006935379634845209,0.014147059844182408,0.6923076923076923,-0.1062216467438084
swap_net_percentile_156w,all,bull,4W,0-10 percentile,124,0.013606364658612183,0.01429211802522845,0.6451612903225806,-0.09627568673982723
swap_net_percentile_156w,all,bull,4W,10-20 percentile,54,0.019222103071495328,0.009250836973492493,0.6666666666666666,-0.060829326789522464
swap_net_percentile_156w,all,bull,4W,20-30 percentile,47,0.030923479439180796,0.019278828989646613,0.7021276595744681,-0.05119879076312228
swap_net_percentile_156w,all,bull,4W,30-40 percentile,29,0.016066236368053252,0.005554231968427192,0.5517241379310345,-0.04614981398192419
swap_net_percentile_156w,all,bull,4W,40-50 percentile,21,0.027004402113198798,0.021085207218491497,0.7142857142857143,-0.05071641191914644
swap_net_percentile_156w,all,bull,4W,50-60 percentile,30,-0.030642607549312927,-0.013412641170312267,0.4,-0.24182065122572693
swap_net_percentile_156w,all,bull,4W,60-70 percentile,25,0.015461380056753758,-0.0014329111422974883,0.48,-0.055792786593264254
swap_net_percentile_156w,all,bull,4W,70-80 percentile,16,0.027693121478940215,0.022475009980261973,0.625,-0.06205077743683152
swap_net_percentile_156w,all,bull,4W,80-90 percentile,12,0.026773853943867415,0.027863873437024345,0.75,-0.05429443025722758
swap_net_percentile_156w,all,bull,4W,90-100 percentile,26,0.008849761561488397,0.016286868983076297,0.6538461538461539,-0.13647792390513236
swap_net_percentile_156w,all,bull,8W,0-10 percentile,124,0.030525983979091734,0.030160342280514008,0.6935483870967742,-0.09627568673982723
swap_net_percentile_156w,all,bull,8W,10-20 percentile,54,0.0415696028017293,0.04211844446724866,0.6851851851851852,-0.06457724112209928
swap_net_percentile_156w,all,bull,8W,20-30 percentile,47,0.06373188119546078,0.06711888611210282,0.723404255319149,-0.05546665152540575
swap_net_percentile_156w,all,bull,8W,30-40 percentile,29,0.026980431716074834,0.019605251808715307,0.6206896551724138,-0.15878546754349454
swap_net_percentile_156w,all,bull,8W,40-50 percentile,20,0.03749224000559095,0.03202262281589485,0.75,-0.11727902345840291
swap_net_percentile_156w,all,bull,8W,50-60 percentile,29,-0.03355860310206443,-0.004175473702656585,0.4827586206896552,-0.31196189601223423
swap_net_percentile_156w,all,bull,8W,60-70 percentile,23,-0.022391114265986726,0.0,0.4782608695652174,-0.2503156858043756
swap_net_percentile_156w,all,bull,8W,70-80 percentile,16,0.07469523029948028,0.05918783348851775,0.8125,-0.06279102843925366
swap_net_percentile_156w,all,bull,8W,80-90 percentile,12,0.05051487276389203,0.05782604938465874,0.9166666666666666,-0.13647792390513236
swap_net_percentile_156w,all,bull,8W,90-100 percentile,26,0.020728836048323238,0.01933550882322921,0.5769230769230769,-0.13647792390513236
oi_percentile_156w,all,bull,1W,0-10 percentile,45,0.002390844232317487,0.0020440657114175753,0.5111111111111111,-0.12031597586732656
oi_percentile_156w,all,bull,1W,10-20 percentile,17,0.008490953955393043,0.010465116279069875,0.7058823529411765,-0.05213784689605472
oi_percentile_156w,all,bull,1W,20-30 percentile,33,0.005135097536785443,0.005892290840553205,0.696969696969697,-0.08635005098425519
oi_percentile_156w,all,bull,1W,30-40 percentile,37,-0.0015671948643893243,0.0024315351156123377,0.5405405405405406,-0.21969518766939888
oi_percentile_156w,all,bull,1W,40-50 percentile,32,0.005221348959467034,0.003426671558938499,0.53125,-0.037669248680079814
oi_percentile_156w,all,bull,1W,50-60 percentile,17,0.008969761254041586,0.00833775843573048,0.7058823529411765,-0.03252582928082792
oi_percentile_156w,all,bull,1W,60-70 percentile,47,-0.0013863034154307714,-0.00015719238288436355,0.48936170212765956,-0.048254193694034275
oi_percentile_156w,all,bull,1W,70-80 percentile,36,0.005978112824495344,0.0058092628087392795,0.6111111111111112,-0.029494490518850447
oi_percentile_156w,all,bull,1W,80-90 percentile,33,0.010377893329504666,0.015911300787570415,0.696969696969697,-0.05470318951103592
oi_percentile_156w,all,bull,1W,90-100 percentile,90,0.0029521766664976586,0.003930072394562889,0.5888888888888889,-0.05071641191914644
oi_percentile_156w,all,bull,2W,0-10 percentile,44,0.005252001443184954,0.00762109890865359,0.5681818181818182,-0.15878546754349454
oi_percentile_156w,all,bull,2W,10-20 percentile,17,0.01903734717203028,0.01630749826414335,0.7058823529411765,-0.059911881620076435
oi_percentile_156w,all,bull,2W,20-30 percentile,33,0.014409703563140338,0.011854697503713263,0.6666666666666666,-0.1062216467438084
oi_percentile_156w,all,bull,2W,30-40 percentile,37,-0.007313158193812988,0.008048956001162066,0.6216216216216216,-0.21969518766939888
oi_percentile_156w,all,bull,2W,40-50 percentile,32,0.004362100068098462,0.004283282362262164,0.59375,-0.09645285117833136
oi_percentile_156w,all,bull,2W,50-60 percentile,17,0.01509207549791701,0.00904855328405696,0.7647058823529411,-0.041679811535031974
oi_percentile_156w,all,bull,2W,60-70 percentile,47,0.006909027838134013,0.002770809415457931,0.5106382978723404,-0.048254193694034275
oi_percentile_156w,all,bull,2W,70-80 percentile,36,0.009291561775908362,0.0021043950753917295,0.5833333333333334,-0.06457724112209928
oi_percentile_156w,all,bull,2W,80-90 percentile,33,0.01533156064629081,0.017143236006310847,0.6363636363636364,-0.0585265554840122
oi_percentile_156w,all,bull,2W,90-100 percentile,90,0.005969628519990733,0.005266984963938515,0.5777777777777777,-0.060829326789522464
oi_percentile_156w,all,bull,4W,0-10 percentile,42,0.010630032768746427,0.0027501192613177405,0.5476190476190477,-0.15878546754349454
oi_percentile_156w,all,bull,4W,10-20 percentile,17,0.036706714763429994,0.03671551589004185,0.8823529411764706,-0.06836163781544768
oi_percentile_156w,all,bull,4W,20-30 percentile,33,0.016282837960702474,0.022648896989340805,0.6060606060606061,-0.2267298547176011
oi_percentile_156w,all,bull,4W,30-40 percentile,37,-0.008250729259617439,0.006240249609984483,0.5405405405405406,-0.2284381274149232
oi_percentile_156w,all,bull,4W,40-50 percentile,32,0.011162743779202025,0.009480836212889643,0.53125,-0.24182065122572693
oi_percentile_156w,all,bull,4W,50-60 percentile,17,0.02428561890196505,0.014778571171311983,0.5882352941176471,-0.13647792390513236
oi_percentile_156w,all,bull,4W,60-70 percentile,47,0.012317506625813218,0.00020698769487537128,0.5106382978723404,-0.06457724112209928
oi_percentile_156w,all,bull,4W,70-80 percentile,36,0.024864094266849088,0.018840273661847706,0.7222222222222222,-0.06457724112209928
oi_percentile_156w,all,bull,4W,80-90 percentile,33,0.030021159362054135,0.02706411627772365,0.7272727272727273,-0.06279102843925366
oi_percentile_156w,all,bull,4W,90-100 percentile,90,0.01262224332388933,0.007298271585249094,0.6777777777777778,-0.06469545520130882
oi_percentile_156w,all,bull,8W,0-10 percentile,38,0.01900379574531376,0.026635163801830064,0.631578947368421,-0.15878546754349454
oi_percentile_156w,all,bull,8W,10-20 percentile,17,0.07847462767404961,0.0681985118717896,0.8823529411764706,-0.10523657469748249
