rank,date,gold_close,similarity_score,distance,normalized_distance,mm_net_percentile_156w,producer_net_percentile_156w,oi_percentile_156w,gold_return_1w,gold_return_2w,gold_return_4w,gold_return_8w,diff_mm_net_percentile_156w_points,diff_producer_net_percentile_156w_points,diff_oi_percentile_156w_points,forward_return_1w,forward_return_2w,forward_return_4w,forward_return_8w,sample_split,gold_regime,gold_anomaly_2025_2026
11,2021-06-22,1776.300048828125,93.37606837606837,19.871794871794876,6.623931623931625,0.358974358974359,0.8782051282051282,0.0897435897435897,-0.0421676738591938,-0.0612514033054334,-0.0641693948287487,-0.000956103021302,7.051282051282043,4.487179487179505,8.33333333333333,-0.00760006734724028,0.00968302127966636,0.019478677382666287,0.004897793690663121,test_2019_2026,bear,False
12,2021-06-29,1762.800048828125,93.37606837606837,19.871794871794876,6.623931623931625,0.3525641025641026,0.8846153846153846,0.0897435897435897,-0.0076000673472402,-0.0494472640452278,-0.073624454142869,-0.0073206440153996,7.692307692307682,3.846153846153866,8.33333333333333,0.017415447198497525,0.026435202118876955,0.020819123074266033,0.024279513031704836,test_2019_2026,bear,False
13,2013-10-29,1345.199951171875,92.94871794871794,21.153846153846164,7.051282051282054,0.3333333333333333,0.8782051282051282,0.0769230769230769,0.0020111368133146,0.0567163795537117,0.0460341766499805,-0.0473088164505134,9.61538461538461,4.487179487179505,7.05128205128205,-0.02765384516961078,-0.05508472961315902,-0.07716319545461392,-0.10414806770093099,train_2009_2018,bear,False
14,2014-04-29,1296.0,92.94871794871794,21.153846153846164,7.051282051282054,0.391025641025641,0.8269230769230769,0.0833333333333333,0.0120256322877221,-0.003076923076923,0.0128165244818427,-0.0312453635090989,3.846153846153838,9.615384615384636,7.69230769230769,0.009490778416763046,-0.0010802657515914804,-0.023611092273099876,0.019212981800974083,train_2009_2018,range,False
15,2023-02-14,1854.0,92.09401709401709,23.71794871794873,7.90598290598291,0.2051282051282051,0.9166666666666666,0.0128205128205128,-0.009456617852019,-0.0391293081109095,-0.0278942704141673,0.0209813178444289,22.43589743589743,0.641025641025661,0.64102564102564,-0.01132686084142398,-0.013538282408812052,0.028155313469188314,0.08133767466457664,test_2019_2026,range,False
16,2023-09-05,1926.199951171875,91.66666666666667,24.99999999999998,8.333333333333325,0.2948717948717949,0.9294871794871796,0.1153846153846153,-0.0053188994723082,0.015713945567481,0.0010914066901841,-0.0026407588294448,13.461538461538453,0.6410256410256387,10.897435897435889,-0.007735387146430517,0.0030111353832171783,-0.05274632860629325,0.03063025723996371,test_2019_2026,bull,False
17,2014-02-11,1290.0999755859375,91.66666666666666,25.00000000000001,8.333333333333337,0.2179487179487179,0.9166666666666666,0.0384615384615384,0.0306782982440092,0.03125497648756,0.0360584855241974,0.0478395278995913,21.15384615384615,0.641025641025661,3.2051282051282,0.02681960796892735,0.041004592989032806,0.04371756102735125,0.014417468365186092,train_2009_2018,range,False
18,2013-08-27,1420.5999755859375,91.45299145299145,25.641025641025628,8.547008547008543,0.2051282051282051,0.935897435897436,0.0256410256410256,0.034593256750828,0.07523465643932,0.0729607066359043,0.1423287258562418,22.43589743589743,1.2820512820512775,1.9230769230769198,-0.0060537630112167395,-0.039771928038148885,-0.07363084427957589,-0.05497675413778924,train_2009_2018,bear,False
19,2013-09-03,1412.0,91.45299145299145,25.641025641025628,8.547008547008543,0.2243589743589743,0.9294871794871796,0.0512820512820512,-0.0060537630112167,0.0283300743614556,0.1003741067091681,0.1333172584726876,20.51282051282051,0.6410256410256387,4.487179487179479,-0.03392353003828785,-0.07259206798866857,-0.0892351274787535,-0.047308816450513436,train_2009_2018,bear,False
20,2023-09-19,1932.0,91.02564102564102,26.92307692307692,8.974358974358973,0.2884615384615384,0.903846153846154,0.1153846153846153,0.0108302990859896,0.0030111353832171,0.0187723977682066,-0.0153406941340736,14.102564102564102,1.9230769230769273,10.897435897435889,-0.016356095023777217,-0.055590074748479656,-0.0048136898696299335,0.015424455915178603,test_2019_2026,range,False
