feature_group,window,feature_name,horizon,correlation,rank_correlation,absolute_rank_correlation,high_low_spread,sample_count,weekly_change_avg,weekly_change_median,weekly_change_std,extreme_jump_count,stability_score,train_rank_corr,test_rank_corr,train_high_low_spread,test_high_low_spread,direction_consistency,information_score,train_test_score,interpretability_score,total_score,recommended,reason
net,26W,mm_net_velocity_26w,1W,0.13588372991745537,0.1415264581190043,0.1415264581190043,0.009999854350592849,798,0.10370082744306838,0.07051282051282054,0.10142271105491255,46,21.833333333333336,0.13414135422195023,0.13754645397391793,0.00760139536940835,0.0116608840435347,True,93.25,100.0,65.0,74.25833333333334,True,medium-term window; slower response; train/test direction is consistent; historical structure research only
net,8W,mm_net_velocity_8w,1W,0.16937292627449246,0.2169054163063782,0.2169054163063782,0.014248276688545948,816,0.09917316257902034,0.06410256410256415,0.10125968780417324,44,7.833333333333334,0.1813636218588733,0.24917918475117096,0.011242887195835199,0.0199976855434879,True,80.66666666666666,100.0,95.0,68.725,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
net,4W,mm_net_velocity_4w,1W,0.20722264840407856,0.2682048415159951,0.2682048415159951,0.0174780804694034,820,0.10359676996564914,0.07051282051282048,0.11111106067599996,58,27.666666666666668,0.27146925596232424,0.2649018621907991,0.0176885091106581,0.01803052346309065,True,66.91666666666667,100.0,85.0,67.18333333333334,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
net,2W,mm_net_velocity_2w,1W,0.3118017028342705,0.3954325705443039,0.3954325705443039,0.02170868812866525,822,0.09478752751585581,0.05769230769230771,0.10787146208453172,49,12.166666666666666,0.41381204397406646,0.378129080786993,0.021436678891819702,0.02206169379913045,True,42.83333333333333,100.0,55.0,50.675,False,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
net,26W,mm_net_velocity_26w,2W,0.21975428000361627,0.21707835249341823,0.21707835249341823,0.01850280413296805,798,0.10370082744306838,0.07051282051282054,0.10142271105491255,46,21.833333333333336,0.23600966486271033,0.18985326604415326,0.02178450087318535,0.01652978493585345,True,75.5,100.0,65.0,67.15833333333333,True,medium-term window; slower response; train/test direction is consistent; historical structure research only
net,12W,mm_net_velocity_12w,2W,0.20363465049872984,0.2481830702060373,0.2481830702060373,0.022924923284255702,812,0.10345978658788917,0.06938339424593698,0.1074391248774687,50,18.5,0.2304962989689413,0.2611500670172227,0.0189711006504884,0.0200277246497738,True,67.16666666666666,100.0,90.0,65.49166666666666,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
net,8W,mm_net_velocity_8w,2W,0.2660594654606621,0.3134692490532389,0.3134692490532389,0.02656871249525825,816,0.09917316257902034,0.06410256410256415,0.10125968780417324,44,7.833333333333334,0.289779219659457,0.33891668536464487,0.0291784939675338,0.02945371297467315,True,51.916666666666664,100.0,95.0,57.224999999999994,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
net,4W,mm_net_velocity_4w,2W,0.340210741429407,0.42397156830876415,0.42397156830876415,0.0335744502419575,820,0.10359676996564914,0.07051282051282048,0.11111106067599996,58,27.666666666666668,0.44500161603357286,0.39806544551914574,0.034683084515859455,0.02784615794327655,True,32.75,100.0,85.0,53.516666666666666,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
net,2W,mm_net_velocity_2w,2W,0.5000349596198906,0.6241618774724469,0.6241618774724469,0.043874967908096904,822,0.09478752751585581,0.05769230769230771,0.10787146208453172,49,12.166666666666666,0.6623263964010928,0.5854692201075096,0.0451261492425866,0.04585115307082485,True,12.749999999999998,100.0,55.0,38.641666666666666,False,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
net,26W,mm_net_velocity_26w,4W,0.30458314253234664,0.29890345817444897,0.29890345817444897,0.03577988646068385,798,0.10370082744306838,0.07051282051282054,0.10142271105491255,46,21.833333333333336,0.37842498842940153,0.19894864014278119,0.04977198535432325,0.02306484318853485,True,53.25000000000001,100.0,65.0,58.25833333333334,True,medium-term window; slower response; train/test direction is consistent; historical structure research only
net,12W,mm_net_velocity_12w,4W,0.32752153563901215,0.3696827328241804,0.3696827328241804,0.0417179472535467,812,0.10345978658788917,0.06938339424593698,0.1074391248774687,50,18.5,0.3749537971525583,0.3506305239758348,0.039418475388551796,0.0366091926432674,True,36.75,100.0,90.0,53.325,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
net,8W,mm_net_velocity_8w,4W,0.36244746695538615,0.4083250502724438,0.4083250502724438,0.0474665610072501,816,0.09917316257902034,0.06410256410256415,0.10125968780417324,44,7.833333333333334,0.4201999729535858,0.38639550193725236,0.048795260957225195,0.04858908755623425,True,28.333333333333336,100.0,95.0,47.79166666666667,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
net,4W,mm_net_velocity_4w,4W,0.4975607346357145,0.5793764193230774,0.5793764193230774,0.0632464082702271,820,0.10359676996564914,0.07051282051282048,0.11111106067599996,58,27.666666666666668,0.6448318777773429,0.49671591476653415,0.0701556737795831,0.05647789562546791,True,7.916666666666667,100.0,85.0,43.583333333333336,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
net,2W,mm_net_velocity_2w,4W,0.36560263686594147,0.4337627760778727,0.4337627760778727,0.05259162281436855,822,0.09478752751585581,0.05769230769230771,0.10787146208453172,49,12.166666666666666,0.5494761146501884,0.29596422836437414,0.0630554501431544,0.0394858974842867,True,17.916666666666664,100.0,55.0,40.70833333333333,False,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
net,2W,mm_net_velocity_2w,8W,0.1494436502188495,0.20430746426913118,0.20430746426913118,0.04336957809042355,822,0.09478752751585581,0.05769230769230771,0.10787146208453172,49,12.166666666666666,0.264162983927107,0.14769487480462257,0.0438886503901436,0.03924831801119565,True,65.91666666666667,100.0,55.0,59.90833333333334,False,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
net,4W,mm_net_velocity_4w,8W,0.22463343409167238,0.2847315540088602,0.2847315540088602,0.054235693861144005,820,0.10359676996564914,0.07051282051282048,0.11111106067599996,58,27.666666666666668,0.36612764458620506,0.18314593010320762,0.0569027445625996,0.04244631725018186,True,43.833333333333336,100.0,85.0,57.95,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
net,26W,mm_net_velocity_26w,8W,0.3307038708711644,0.3426458792141556,0.3426458792141556,0.06256250635413405,798,0.10370082744306838,0.07051282051282054,0.10142271105491255,46,21.833333333333336,0.48054358020432336,0.18242704904556145,0.0664041167333574,0.0316394690578743,True,31.25,100.0,65.0,49.458333333333336,True,medium-term window; slower response; train/test direction is consistent; historical structure research only
net,12W,mm_net_velocity_12w,8W,0.3751368876893164,0.4270865658435746,0.4270865658435746,0.0675845970634727,812,0.10345978658788917,0.06938339424593698,0.1074391248774687,50,18.5,0.4887605817228152,0.33876482835619426,0.0611996160527369,0.055301942262917195,True,15.916666666666666,100.0,90.0,44.99166666666667,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
net,8W,mm_net_velocity_8w,8W,0.43349710492842564,0.48639121916935846,0.48639121916935846,0.07727041563012624,816,0.09917316257902034,0.06410256410256415,0.10125968780417324,44,7.833333333333334,0.585057809321402,0.3600681290448473,0.085414623465425,0.08303243665859909,True,8.25,100.0,95.0,39.75833333333333,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
short,12W,mm_short_velocity_12w,1W,-0.1167320294357988,-0.1395214259746599,0.1395214259746599,-0.0074988329018305,843,0.12437495456900685,0.08333333333333337,0.13313087751191796,78,84.16666666666667,-0.15770139397555993,-0.11177289767235164,-0.0095204825493889,-0.0027290672346178997,True,98.91666666666666,100.0,90.0,94.60833333333333,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
short,8W,mm_short_velocity_8w,1W,-0.11675460336127019,-0.15192131022259,0.15192131022259,-0.009888472765817051,847,0.12558446145756907,0.08333333333333323,0.13194126244669607,82,87.83333333333334,-0.15740329931678984,-0.1337825439958241,-0.00869959919773905,-0.010244188366237451,True,91.66666666666666,100.0,95.0,93.125,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
short,4W,mm_short_velocity_4w,1W,-0.17150612723469472,-0.194966211112496,0.194966211112496,-0.0111887960584465,851,0.12627960152607626,0.08333333333333329,0.1441980011502158,78,95.5,-0.2553146353125807,-0.11340411524167858,-0.0155619210518486,-0.0058073579715864,True,86.66666666666667,100.0,85.0,92.04166666666667,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
