feature_group,window,feature_name,bucket,count,avg_forward_return_1w,median_forward_return_1w,win_rate_1w,avg_forward_return_2w,median_forward_return_2w,win_rate_2w,avg_forward_return_4w,median_forward_return_4w,win_rate_4w,avg_forward_return_8w,median_forward_return_8w,win_rate_8w,best_return_8w,worst_return_8w
long,4W,mm_long_velocity_4w,20 to 40,69,0.009522260086470839,0.0129965534466842,0.7536231884057971,0.021680407930074534,0.0195642958473878,0.8985507246376812,0.04078886623639682,0.0408917137843851,0.927536231884058,0.043662107113959056,0.0478395278995913,0.7391304347826086,0.1625829071198501,-0.0511088357939172
long,4W,mm_long_velocity_4w,>= 40,49,0.013191885633578426,0.0119215366528764,0.7755102040816326,0.026241737112823214,0.0272060950849777,0.8571428571428571,0.055264604526569776,0.0568511815304271,0.9795918367346939,0.0453138635499282,0.0378672115864164,0.8775510204081632,0.1408568443760893,-0.0273007844686603
long,8W,mm_long_velocity_8w,<= -40,72,-0.0030567084920519157,-0.003943815312562,0.4444444444444444,-0.00796806335499567,-0.00582396798542455,0.375,-0.014474369340138741,-0.01403005355227285,0.3611111111111111,-0.016044914982638214,-0.02616233654297665,0.3055555555555556,0.141108139777025,-0.1127336639223639
long,8W,mm_long_velocity_8w,-40 to -20,96,-0.0018501129915535336,-0.0001373157595214628,0.4895833333333333,-0.0017133543185329236,-0.0062828117895702,0.4166666666666667,0.0007384567688725214,-0.00612483405041485,0.3958333333333333,0.007483459415015552,-0.01688706366885005,0.375,0.2490795911429133,-0.1339790371346169
long,8W,mm_long_velocity_8w,-20 to 0,273,-0.001797305787493565,-0.0022367570026936,0.46886446886446886,-0.004831835636715886,-0.0035661944378471,0.42124542124542125,-0.008034470826999741,-0.008418973755175,0.40293040293040294,-0.00940226510020832,-0.0149797241375674,0.326007326007326,0.2133711803970932,-0.1417529499061852
long,8W,mm_long_velocity_8w,0 to 20,244,0.00522577290869637,0.0055624652234581,0.6311475409836066,0.009946536011603889,0.012405528493838549,0.6434426229508197,0.016485946826447846,0.0188786959942639,0.6762295081967213,0.024716764565064313,0.02272141346856155,0.680327868852459,0.2078951875901724,-0.1366085933886819
long,8W,mm_long_velocity_8w,20 to 40,76,0.005646224540705164,0.0091980938485771,0.6842105263157895,0.013054856805299607,0.019542823760403602,0.7105263157894737,0.02594262563979081,0.0259071672271198,0.7894736842105263,0.04523626739763984,0.0395425227579938,0.881578947368421,0.2391145624670039,-0.1351957658134761
long,8W,mm_long_velocity_8w,>= 40,85,0.009230308551109912,0.0077349026339363,0.6705882352941176,0.021265559789713333,0.0171432360063108,0.8,0.04217596918102166,0.0438596482765984,0.8823529411764706,0.0770515533191269,0.080408187170049,0.9764705882352941,0.1791862139719482,-0.0186216842293054
long,12W,mm_long_velocity_12w,<= -40,101,-0.0005301243610654183,-0.0005028290399679,0.48514851485148514,-0.004021540039389449,-0.0045849186559586,0.42574257425742573,-0.011741725544892894,-0.0136755586040195,0.33663366336633666,-0.009924264324745812,-0.0155463234371385,0.3564356435643564,0.141108139777025,-0.1127336639223639
long,12W,mm_long_velocity_12w,-40 to -20,93,-0.002596785453203323,-0.0034092363904402,0.41935483870967744,-0.0052182946954073516,-0.0033937386547409,0.40860215053763443,-0.007097431872804028,-0.0094998634292203,0.41935483870967744,0.002016657584804477,-0.0125482229274327,0.3870967741935484,0.2490795911429133,-0.1339790371346169
long,12W,mm_long_velocity_12w,-20 to 0,223,-0.002079602546602824,0.0003938283647357,0.5022421524663677,-0.0029194986673798124,-0.0018042124582335,0.4484304932735426,-0.0026194240522927938,-0.0035473247906109,0.4663677130044843,-0.004416785428317507,-0.0122590781912587,0.3542600896860987,0.1971957200753258,-0.1417529499061852
long,12W,mm_long_velocity_12w,0 to 20,253,0.005007489230902977,0.0058907424118768,0.6324110671936759,0.009152103574708557,0.0114817916550635,0.6205533596837944,0.013408119053864123,0.0141362363683334,0.6126482213438735,0.019214064470210852,0.0190595015006505,0.6126482213438735,0.2391145624670039,-0.1366085933886819
long,12W,mm_long_velocity_12w,20 to 40,70,0.005917671191444903,0.0038831120458028504,0.5714285714285714,0.011458680808656405,0.01346860374433775,0.7,0.022871068820327394,0.02432142453858705,0.7142857142857143,0.042881428243099665,0.038960512417948054,0.8285714285714286,0.175924517683228,-0.0417344035109218
long,12W,mm_long_velocity_12w,>= 40,102,0.006528991906193109,0.006652554011897649,0.6568627450980392,0.01579326332964287,0.0160628078850304,0.7156862745098039,0.03789097454959446,0.0400589633304807,0.8725490196078431,0.0678336696673413,0.0712181186295245,0.9509803921568627,0.1791862139719482,-0.045643465696193
long,26W,mm_long_velocity_26w,<= -40,106,-0.0023161275487376437,-0.0011962261243167,0.4716981132075472,-0.0069851314414774695,-0.0044133366390181,0.41509433962264153,-0.012277998080828826,-0.013320271261894001,0.37735849056603776,-0.00655226109903872,-0.0242188834356746,0.36792452830188677,0.1797898651000311,-0.1339790371346169
long,26W,mm_long_velocity_26w,-40 to -20,124,0.0012903300526146903,0.0015855984214255998,0.532258064516129,0.004913746997225923,0.00453074782294945,0.5645161290322581,0.008294930106791991,0.0020533405676722,0.5483870967741935,0.020356068859544784,0.01545185594074655,0.6048387096774194,0.2133711803970932,-0.1244365456402778
long,26W,mm_long_velocity_26w,-20 to 0,219,-0.0016709417094401555,-0.0005028290399679,0.4840182648401826,-0.003939725759334165,-0.0038550500551802,0.4200913242009132,-0.004616798933321779,-0.0081289540174669,0.4063926940639269,-0.006492316411161501,-0.0137828101132274,0.3744292237442922,0.2490795911429133,-0.1417529499061852
long,26W,mm_long_velocity_26w,0 to 20,185,0.00419742371990488,0.0052880435452842,0.6,0.007280786226664583,0.0046579256790577,0.6,0.011750320220526094,0.011371020593913,0.6270270270270271,0.01687769759269428,0.0103784131034481,0.5513513513513514,0.2391145624670039,-0.1041480677009309
long,26W,mm_long_velocity_26w,20 to 40,70,0.003001455596112361,0.0041311918127344,0.6,0.006877259474420597,0.0092635616011049,0.6,0.012673168553146241,0.0112054346312757,0.6428571428571429,0.021289955520047706,0.015611912113901151,0.6285714285714286,0.1343851961281903,-0.056232198578584
