factor,display_name,definition,horizon,sample_count,spearman_ic,pearson_ic,decile_monotonicity,tail_spread_top_minus_bottom,tail_spread_tstat,nonempty_deciles,bottom_decile_count,top_decile_count,bottom_decile_avg_return,top_decile_avg_return,abs_spearman_ic,abs_decile_monotonicity,abs_tail_spread_tstat,abs_spearman_ic_rank,abs_decile_monotonicity_rank,abs_tail_spread_tstat_rank,sample_count_rank,nonempty_deciles_rank,information_score
total_open_interest,Total Open Interest,full_history,2W,872,0.004670678575344219,0.02122570357368951,0.19999999999999998,-0.0019175795184141614,-0.3924296686027564,10,85,88,0.0025692245168240178,0.0006516449984098565,0.004670678575344219,0.19999999999999998,0.3924296686027564,0.2,0.8,0.8,1.0,0.6,0.6799999999999999
total_open_interest,Total Open Interest,rolling_52w,4W,819,-0.08377749728650996,-0.06462584974996438,-0.4787878787878787,-0.008752199316578987,-1.6624528574081425,10,130,144,0.012489688860897718,0.0037374895443187304,0.08377749728650996,0.4787878787878787,1.6624528574081425,1.0,1.0,1.0,0.5,0.6,0.82
total_open_interest,Total Open Interest,rolling_104w,4W,819,-0.021916839494834466,-0.006718620173287309,0.09090909090909088,-0.001686624892627036,-0.31245047069855675,10,141,127,0.008471044232133173,0.006784419339506137,0.021916839494834466,0.09090909090909088,0.31245047069855675,0.8,0.6,0.4,0.5,0.6,0.58
total_open_interest,Total Open Interest,rolling_156w,4W,819,-0.000694308792105845,0.016026476226778053,-0.04242424242424241,0.002883098140288245,0.519732284059217,10,148,98,0.003841838336753883,0.006724936477042128,0.000694308792105845,0.04242424242424241,0.519732284059217,0.2,0.2,0.6,0.5,0.6,0.42000000000000004
total_open_interest,Total Open Interest,rolling_260w,4W,819,-0.014616110874461227,-0.0005845986716117978,-0.06666666666666665,0.0011761924270831453,0.21197133455718714,10,157,93,0.0047210007154036785,0.005897193142486824,0.014616110874461227,0.06666666666666665,0.21197133455718714,0.4,0.4,0.2,0.5,0.6,0.42000000000000004
total_open_interest,Total Open Interest,full_history,4W,870,0.02117103858115083,0.03564299363246822,0.23636363636363633,0.0039075662723613335,0.6083790455673284,10,83,88,0.0009777729415528897,0.004885339213914223,0.02117103858115083,0.23636363636363633,0.6083790455673284,0.6,0.8,0.8,1.0,0.6,0.76
total_open_interest,Total Open Interest,rolling_52w,8W,815,-0.09196472138015227,-0.11180218874292543,-0.7212121212121211,-0.017476285991575954,-2.280785891668452,10,126,144,0.029339868737992988,0.011863582746417032,0.09196472138015227,0.7212121212121211,2.280785891668452,1.0,1.0,1.0,0.5,0.6,0.82
total_open_interest,Total Open Interest,rolling_104w,8W,815,-0.010963312695813472,-0.03419571568552432,-0.43030303030303024,-0.0007442209280175034,-0.10376107209864144,10,137,127,0.015304000641777178,0.014559779713759675,0.010963312695813472,0.43030303030303024,0.10376107209864144,0.4,0.8,0.2,0.5,0.6,0.5
total_open_interest,Total Open Interest,rolling_156w,8W,815,0.019489613760642316,-0.004152820758326938,-0.2727272727272727,0.008652339135367948,1.1603796410570777,10,144,98,0.007915723501884235,0.016568062637252183,0.019489613760642316,0.2727272727272727,1.1603796410570777,0.6,0.2,0.6,0.5,0.6,0.5
total_open_interest,Total Open Interest,rolling_260w,8W,815,-0.0002893280457148127,-0.028133596267902992,-0.3939393939393939,0.003730628423938835,0.4800764981291918,10,153,93,0.009111210392163298,0.012841838816102133,0.0002893280457148127,0.3939393939393939,0.4800764981291918,0.2,0.6,0.4,0.5,0.6,0.4600000000000001
total_open_interest,Total Open Interest,full_history,8W,866,0.04624666394533325,0.035975496083269665,0.309090909090909,0.011132944663064585,1.38267855064859,10,79,88,0.0033596141795159086,0.014492558842580492,0.04624666394533325,0.309090909090909,1.38267855064859,0.8,0.4,0.8,1.0,0.6,0.72
