window,historical_start_date,historical_end_date,similarity_score,current_path,historical_path,historical_gold_return_1w,historical_gold_return_2w,historical_gold_return_4w,historical_gold_return_8w
26W,2010-09-07,2011-03-08,86.23518336022182,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[77.7778, 90.9091, 78.5714, 96.4912, 89.6552, 94.9153, 63.3333, 47.541, 41.9355, 33.3333, 17.1875, 18.4615, 25.7576, 31.3433, 17.6471, 13.0435, 18.5714, 9.8592, 1.3889, 1.3699, 2.7027, 1.3333, 6.5789, 15.5844, 26.9231, 46.8354, 45.0]",-0.0026559913940725,0.0188504280000445,0.0465747387875321,0.0309971274668081
26W,2020-06-02,2020-12-01,85.8665190070242,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[43.5897, 41.6667, 44.2308, 50.0, 53.2051, 53.2051, 50.641, 53.2051, 43.5897, 43.5897, 39.7436, 39.1026, 38.4615, 41.6667, 43.5897, 45.5128, 37.8205, 40.3846, 41.0256, 38.4615, 40.3846, 46.7949, 41.0256, 37.1795, 41.0256, 40.3846, 41.0256]",0.0051528848106197,-0.0373574021831056,-0.049462941794112,-0.045762979915449
26W,2018-02-20,2018-08-21,85.6719624161084,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[76.9231, 64.7436, 64.7436, 58.3333, 50.0, 67.9487, 53.2051, 52.5641, 55.1282, 42.9487, 20.5128, 23.0769, 14.1026, 12.8205, 27.5641, 26.2821, 27.5641, 12.1795, 8.9744, 8.3333, 8.3333, 1.9231, 0.641, 0.641, 0.641, 0.641, 0.641]",-0.0003353096513516,-0.0140542330878975,-0.0255740241880538,-0.0509310848666518
26W,2010-09-14,2011-03-15,85.60374503896331,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[90.9091, 78.5714, 96.4912, 89.6552, 94.9153, 63.3333, 47.541, 41.9355, 33.3333, 17.1875, 18.4615, 25.7576, 31.3433, 17.6471, 13.0435, 18.5714, 9.8592, 1.3889, 1.3699, 2.7027, 1.3333, 6.5789, 15.5844, 26.9231, 46.8354, 45.0, 35.8025]",-0.0240381584142237,-0.0266303046664188,0.0138322658253506,0.0179080479769082
26W,2014-06-24,2014-12-23,85.45559932900987,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[58.3333, 76.9231, 80.1282, 74.359, 77.5641, 65.3846, 52.5641, 71.1538, 60.2564, 46.7949, 30.7692, 30.1282, 13.4615, 7.0513, 8.9744, 7.0513, 17.3077, 34.6154, 33.3333, 14.1026, 9.6154, 23.7179, 31.4103, 42.9487, 62.1795, 65.3846, 57.6923]",-0.0134014571344467,-0.0435241377068108,-0.0160387198759045,-0.0417344035109218
26W,2022-03-08,2022-09-06,85.3592345904745,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[69.8718, 62.8205, 59.6154, 55.7692, 49.359, 60.2564, 47.4359, 26.2821, 16.6667, 13.4615, 4.4872, 12.1795, 7.6923, 10.8974, 2.5641, 7.0513, 2.5641, 0.641, 0.641, 0.641, 0.641, 2.5641, 7.0513, 6.4103, 3.8462, 2.5641, 1.9231]",-0.0132311556429114,-0.0265628710310552,-0.0521738994347478,-0.0132884719812054
26W,2020-06-16,2020-12-15,85.17211173534588,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[44.2308, 50.0, 53.2051, 53.2051, 50.641, 53.2051, 43.5897, 43.5897, 39.7436, 39.1026, 38.4615, 41.6667, 43.5897, 45.5128, 37.8205, 40.3846, 41.0256, 38.4615, 40.3846, 46.7949, 41.0256, 37.1795, 41.0256, 40.3846, 41.0256, 48.0769, 50.0]",-0.0098888173600318,0.0210573142364161,-0.0170867345035155,-0.0304124658937634
26W,2021-04-27,2021-10-26,85.05602884751727,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[35.2564, 36.5385, 44.8718, 51.9231, 60.2564, 61.5385, 59.6154, 53.2051, 35.8974, 35.2564, 37.8205, 44.2308, 46.1538, 45.5128, 44.8718, 21.7949, 31.4103, 34.6154, 39.1026, 32.0513, 33.3333, 23.7179, 15.3846, 26.9231, 28.2051, 26.9231, 42.3077]",0.0129965534466842,0.0195642958473878,0.0327802170429505,-0.0122865282799586
26W,2014-07-01,2014-12-30,85.03052652304291,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[76.9231, 80.1282, 74.359, 77.5641, 65.3846, 52.5641, 71.1538, 60.2564, 46.7949, 30.7692, 30.1282, 13.4615, 7.0513, 8.9744, 7.0513, 17.3077, 34.6154, 33.3333, 14.1026, 9.6154, 23.7179, 31.4103, 42.9487, 62.1795, 65.3846, 57.6923, 58.9744]",0.0189319350501799,0.0052767623996861,0.00083388929346,0.0280965616514146
26W,2018-03-13,2018-09-11,84.64469193696604,"[50.0, 50.641, 57.6923, 60.2564, 51.9231, 48.0769, 58.3333, 61.5385, 44.8718, 24.359, 23.7179, 27.5641, 27.5641, 27.5641, 28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[58.3333, 50.0, 67.9487, 53.2051, 52.5641, 55.1282, 42.9487, 20.5128, 23.0769, 14.1026, 12.8205, 27.5641, 26.2821, 27.5641, 12.1795, 8.9744, 8.3333, 8.3333, 1.9231, 0.641, 0.641, 0.641, 0.641, 0.641, 1.9231, 1.9231, 3.2051]",0.0022638327766633,-0.0099387110794729,0.0020117555859702,-0.0247205090681803
