mm_feature,gold_horizon,lag_weeks,correlation,rank_correlation,sample_count,interpretation
mm_velocity_26w,1W,8,-0.023066565394321576,-0.02815799803289366,791,weak_or_no_clear_historical_relationship
mm_velocity_26w,2W,-8,0.06516360375565973,0.07926016347455443,799,weak_or_no_clear_historical_relationship
mm_velocity_26w,2W,-4,0.1336080903655843,0.11906894650442301,799,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_velocity_26w,2W,-2,0.20757020372325388,0.19988272433672366,799,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_26w,2W,0,0.21979278395800242,0.21714551386843134,799,same_week_positive_historical_alignment
mm_velocity_26w,2W,2,-0.008757973757636235,-0.039752524216596793,797,weak_or_no_clear_historical_relationship
mm_velocity_26w,2W,4,-0.0008241518941307846,-0.044109233007248165,795,weak_or_no_clear_historical_relationship
mm_velocity_26w,2W,8,-0.021007339793729828,-0.03117669467470096,791,weak_or_no_clear_historical_relationship
mm_velocity_26w,4W,-8,0.07526957933811562,0.09999710045660197,799,weak_or_no_clear_historical_relationship
mm_velocity_26w,4W,-4,0.16125153622913027,0.1530293556754518,799,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_velocity_26w,4W,-2,0.2428049232534905,0.22529356116101823,799,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_26w,4W,0,0.30474907620364505,0.2992544055578208,799,same_week_positive_historical_alignment
mm_velocity_26w,4W,2,0.15144072470377917,0.13202270265113308,797,mm_feature_leads_gold_2w_positive_historical_alignment
mm_velocity_26w,4W,4,-0.005671010957867505,-0.043788453826820194,795,weak_or_no_clear_historical_relationship
mm_velocity_26w,4W,8,0.004750728949974801,-0.005270674548051174,791,weak_or_no_clear_historical_relationship
mm_velocity_26w,8W,-8,0.06123826516159897,0.08002116137635784,799,weak_or_no_clear_historical_relationship
mm_velocity_26w,8W,-4,0.16622292372897457,0.19752380140253004,799,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_velocity_26w,8W,-2,0.2512162525690572,0.272798721378621,799,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_26w,8W,0,0.33078397055867553,0.3427200719898727,799,same_week_positive_historical_alignment
mm_velocity_26w,8W,2,0.28031783508916347,0.26977924762836475,797,mm_feature_leads_gold_2w_positive_historical_alignment
mm_velocity_26w,8W,4,0.2130194953266007,0.1894071318187105,795,mm_feature_leads_gold_4w_positive_historical_alignment
mm_velocity_26w,8W,8,-0.0016813495436048247,-0.03293955493335845,791,weak_or_no_clear_historical_relationship
