factor,display_name,definition,definition_type,window_weeks,signal_column,forward_horizon,return_column,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,best_return,worst_return,max_drawdown_after_signal
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,2W,gold_return_2w,0-10,165,0.001559502918710803,0.004333828759047087,0.5515151515151515,0.07829790202317621,-0.15878546754349454,-0.15878546754349454
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,2W,gold_return_2w,10-20,89,0.0024336818068481317,0.004105654664139369,0.5280898876404494,0.06841610558223854,-0.0742192818967865,-0.12031597586732656
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,2W,gold_return_2w,20-30,75,0.011949135864382355,0.013106408082951715,0.64,0.07149824544913708,-0.041679811535031974,-0.04491460574242323
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,2W,gold_return_2w,30-40,71,0.0012214108029725587,0.004490005411861953,0.5774647887323944,0.10692488585101612,-0.09645285117833136,-0.09645285117833136
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,2W,gold_return_2w,40-50,81,0.0032375577293220457,-0.002067882172422042,0.43209876543209874,0.14566775391111086,-0.06125140330543344,-0.06125140330543344
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,2W,gold_return_2w,50-60,59,0.004823111576548448,0.002931679988718683,0.6101694915254238,0.08619188268210953,-0.06682651925334737,-0.06682651925334737
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,2W,gold_return_2w,60-70,59,0.002462764412820586,0.002714708785784836,0.5423728813559322,0.10944797529729877,-0.046262417916839715,-0.046262417916839715
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,2W,gold_return_2w,70-80,55,0.00270897118254549,0.002036100815848707,0.5272727272727272,0.066721952933539,-0.04900268825012388,-0.04900268825012388
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,2W,gold_return_2w,80-90,60,0.002605180657672758,0.0003721282506851109,0.5166666666666667,0.07633306091653003,-0.07137199495423874,-0.0808871997749745
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,2W,gold_return_2w,90-100,107,0.004856022452015746,0.0021070317539237937,0.5233644859813084,0.08557159261273517,-0.060829326789522464,-0.060829326789522464
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,4W,gold_return_4w,0-10,164,0.002589841312708885,0.0038984283503628037,0.5670731707317073,0.10037410670916813,-0.14672796242247665,-0.15878546754349454
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,4W,gold_return_4w,10-20,88,0.007099822856132195,0.010146009492363328,0.5568181818181818,0.11483539553129396,-0.10987044784366473,-0.12031597586732656
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,4W,gold_return_4w,20-30,75,0.021215452440350162,0.02013677811550152,0.6666666666666666,0.1624218642195807,-0.06467611294293807,-0.07050355809102715
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,4W,gold_return_4w,30-40,71,0.00157382549729276,-0.005131896816230164,0.43661971830985913,0.10842148406898744,-0.09640333951559199,-0.11727902345840291
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,4W,gold_return_4w,40-50,81,0.0032028678470081813,0.00020698769487537128,0.5185185185185185,0.14923865199234854,-0.13647792390513236,-0.13647792390513236
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,4W,gold_return_4w,50-60,59,0.012092391039731932,0.006043139292580824,0.576271186440678,0.10918967150622261,-0.05719079528364579,-0.07851149906442356
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,4W,gold_return_4w,60-70,59,0.00781702450678145,0.0008338892934600661,0.5254237288135594,0.1520099174022118,-0.07030730860202183,-0.07623094128024188
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,4W,gold_return_4w,70-80,55,0.006150352610162677,-0.005165757727022768,0.45454545454545453,0.12471478775865297,-0.0830846920054108,-0.0830846920054108
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,4W,gold_return_4w,80-90,60,0.007958636683191439,0.0035553893131481384,0.5666666666666667,0.14951136761868566,-0.07927665077911361,-0.08407618576531328
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,4W,gold_return_4w,90-100,107,0.008867280942235817,0.007767008524318442,0.6074766355140186,0.11255248432300946,-0.09278442175562396,-0.09278442175562396
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,8W,gold_return_8w,0-10,160,0.006988956445999628,0.004531001122732636,0.53125,0.1423287258562418,-0.14175294990618525,-0.15878546754349454
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,8W,gold_return_8w,10-20,88,0.00871207279035706,-0.0047714879208420324,0.4772727272727273,0.20789518759017245,-0.1339790371346169,-0.15878546754349454
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,8W,gold_return_8w,20-30,75,0.03115258857099943,0.020981317844428915,0.6,0.2391145624670039,-0.08008739447469948,-0.09180791293696722
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,8W,gold_return_8w,30-40,71,0.004163352592248387,-0.0026774847372951216,0.4507042253521127,0.16245784752874903,-0.08290506430400368,-0.13647792390513236
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,8W,gold_return_8w,40-50,81,0.015329230738035186,-0.004175473702656585,0.4691358024691358,0.24907959114291334,-0.11245966153384135,-0.13647792390513236
