factor,definition,horizon,train_score,test_score,stability_score,recommended,reason
Producer,156W zscore,1W,38.89,92.22,75.89,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 75.9.
Producer,260W zscore,1W,38.32,89.1,74.6,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 74.6.
Producer,156W percentile,1W,52.48,94.06,51.29,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 51.3.
Producer,260W percentile,1W,46.28,94.06,49.12,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 49.1.
Producer,104W zscore,1W,51.46,88.06,48.83,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 48.8.
Producer,Full History percentile,1W,43.23,59.93,36.11,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 36.1."
Producer,104W percentile,2W,69.95,98.85,89.08,True,Top production-eligible score for this factor/horizon; stability score 89.1.
Producer,52W percentile,2W,77.93,84.62,86.89,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 86.9.
Producer,52W zscore,2W,72.98,87.26,86.08,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 86.1.
Producer,156W zscore,2W,41.23,94.59,77.53,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 77.5.
Producer,260W zscore,2W,39.39,91.82,75.92,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 75.9.
Producer,156W percentile,2W,57.97,93.66,53.07,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 53.1.
Producer,104W zscore,2W,58.02,88.7,51.35,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 51.4.
Producer,260W percentile,2W,48.4,96.77,50.81,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 50.8.
Producer,Full History percentile,2W,40.3,49.73,31.51,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 31.5."
Producer,52W zscore,4W,75.66,83.39,85.67,True,Top production-eligible score for this factor/horizon; stability score 85.7.
Producer,260W zscore,4W,42.46,89.97,76.35,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 76.4.
Producer,156W zscore,4W,39.65,92.74,76.34,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 76.3.
Producer,104W percentile,4W,77.5,98.74,61.68,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 61.7.
Producer,52W percentile,4W,78.54,82.75,56.45,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 56.5.
Producer,104W zscore,4W,68.44,92.4,56.29,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 56.3.
Producer,156W percentile,4W,59.83,98.05,55.26,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 55.3.
Producer,260W percentile,4W,58.87,94.58,53.71,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 53.7.
Producer,Full History percentile,4W,38.31,45.73,29.42,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 29.4."
Producer,52W percentile,8W,78.71,90.21,89.12,True,Top production-eligible score for this factor/horizon; stability score 89.1.
Producer,104W percentile,8W,69.72,96.09,88.04,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 88.0.
Producer,52W zscore,8W,75.48,88.71,87.47,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 87.5.
Producer,104W zscore,8W,53.08,91.83,80.72,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 80.7.
Producer,156W percentile,8W,46.55,97.48,80.41,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 80.4.
Producer,260W percentile,8W,46.76,92.98,78.91,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 78.9.
Producer,156W zscore,8W,36.77,89.75,74.28,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 74.3.
Producer,260W zscore,8W,33.05,91.83,73.71,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 73.7.
Producer,Full History percentile,8W,55.65,36.36,32.2,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 32.2."
